path	change_type	confidence	bora_added_share	bora_commits_count	en_path_exists
1-js/06-advanced-functions/03-closure/4-counter-object-independent/solution.md	review_edit	개연	0.0833	1	yes
1-js/06-advanced-functions/03-closure/4-counter-object-independent/task.md	review_edit	개연	0.1071	1	yes
1-js/06-advanced-functions/03-closure/5-function-in-if/solution.md	mixed	개연	0.6667	1	yes
1-js/06-advanced-functions/03-closure/5-function-in-if/task.md	review_edit	개연	0.1	2	yes
1-js/06-advanced-functions/03-closure/6-closure-sum/solution.md	review_edit	개연	0.1765	1	yes
1-js/06-advanced-functions/03-closure/6-closure-sum/task.md	mixed	개연	0.25	1	yes
1-js/06-advanced-functions/03-closure/7-let-scope/solution.md	mixed	개연	0.275	2	yes
1-js/06-advanced-functions/03-closure/7-let-scope/task.md	review_edit	개연	0.0952	1	yes
1-js/06-advanced-functions/03-closure/8-filter-through-function/task.md	mixed	개연	0.4138	1	yes
1-js/06-advanced-functions/03-closure/9-sort-by-field/task.md	mixed	개연	0.2778	1	yes
1-js/06-advanced-functions/03-closure/article.md	mixed	개연	0.3397	12	yes
1-js/06-advanced-functions/04-var/article.md	mixed	개연	0.2316	7	yes
1-js/06-advanced-functions/05-global-object/article.md	mixed	개연	0.3678	4	yes
1-js/06-advanced-functions/06-function-object/2-counter-inc-dec/solution.md	mixed	개연	0.5	1	yes
1-js/06-advanced-functions/06-function-object/2-counter-inc-dec/task.md	mixed	개연	0.4	1	yes
1-js/06-advanced-functions/06-function-object/5-sum-many-brackets/solution.md	mixed	개연	0.2	1	yes
1-js/06-advanced-functions/06-function-object/5-sum-many-brackets/task.md	review_edit	개연	0.1765	1	yes
1-js/06-advanced-functions/06-function-object/article.md	mixed	개연	0.2408	3	yes
1-js/06-advanced-functions/07-new-function/article.md	mixed	개연	0.3008	2	yes
1-js/06-advanced-functions/08-settimeout-setinterval/1-output-numbers-100ms/solution.md	review_edit	개연	0.0625	1	yes
1-js/06-advanced-functions/08-settimeout-setinterval/1-output-numbers-100ms/task.md	mixed	개연	0.4167	1	yes
1-js/06-advanced-functions/08-settimeout-setinterval/4-settimeout-result/solution.md	mixed	개연	0.2	1	yes
1-js/06-advanced-functions/08-settimeout-setinterval/4-settimeout-result/task.md	mixed	개연	0.3214	3	yes
1-js/06-advanced-functions/08-settimeout-setinterval/article.md	mixed	개연	0.351	10	yes
1-js/06-advanced-functions/09-call-apply-decorators/article.md	mixed	개연	0.2958	3	yes
1-js/06-advanced-functions/10-bind/article.md	mixed	개연	0.2423	2	yes
1-js/06-advanced-functions/12-arrow-functions/article.md	mixed	개연	0.3095	2	yes
1-js/06-advanced-functions/index.md	new_translation	확정	1.0	1	yes
1-js/07-object-properties/01-property-descriptors/article.md	review_edit	개연	0.1884	1	yes
1-js/07-object-properties/02-property-accessors/article.md	review_edit	개연	0.1844	2	yes
1-js/07-object-properties/index.md	mixed	개연	0.6667	1	yes
1-js/08-prototypes/01-prototype-inheritance/2-search-algorithm/task.md	review_edit	개연	0.0323	1	yes
1-js/08-prototypes/01-prototype-inheritance/3-proto-and-this/solution.md	mixed	개연	0.4286	1	yes
1-js/08-prototypes/01-prototype-inheritance/3-proto-and-this/task.md	review_edit	개연	0.1304	1	yes
1-js/08-prototypes/01-prototype-inheritance/4-hamster-proto/solution.md	mixed	개연	0.225	1	yes
1-js/08-prototypes/01-prototype-inheritance/4-hamster-proto/task.md	review_edit	개연	0.1429	1	yes
1-js/08-prototypes/01-prototype-inheritance/article.md	mixed	개연	0.2725	8	yes
1-js/08-prototypes/02-function-prototype/1-changing-prototype/solution.md	mixed	개연	0.5	1	yes
